country,ai_exposure_oecd,automation_risk,ai_exposure_felten,social_exposure
AT,-0.04809778730797681,,-0.04809778730797681,
BE,0.07909568701927086,,0.07909568701927086,
BG,-0.1945818048008077,,-0.1945818048008077,
CH,0.1358741276479391,,0.1358741276479391,
CY,-0.05869932188399441,,-0.05869932188399441,
CZ,-0.13342292746520293,,-0.13342292746520293,
DE,-0.0005754625921697505,,-0.0005754625921697505,
DK,0.03716031789775459,,0.03716031789775459,
EE,-0.02702216002082271,,-0.02702216002082271,
ES,-0.11374403496596701,,-0.11374403496596701,
FI,-9.507462026675996e-05,,-9.507462026675996e-05,
FR,-0.021482061322717457,,-0.021482061322717457,
GB,0.1405619181902684,,0.1405619181902684,
HR,-0.08966517249470124,,-0.08966517249470124,
HU,-0.20979227710179985,,-0.20979227710179985,
IE,0.04753512599608092,,0.04753512599608092,
IS,0.0793439718045273,,0.0793439718045273,
IT,-0.11227943984062708,,-0.11227943984062708,
LT,-0.08512402084917357,,-0.08512402084917357,
LV,-0.11392998454915385,,-0.11392998454915385,
ME,-0.06971120669870641,,-0.06971120669870641,
NL,0.0913273355298234,,0.0913273355298234,
NO,0.12332615403451314,,0.12332615403451314,
PL,-0.14831347423033817,,-0.14831347423033817,
PT,-0.10802903661897525,,-0.10802903661897525,
RS,-0.2765681097596352,,-0.2765681097596352,
SE,0.11682415324470175,,0.11682415324470175,
SI,-0.04148008128152001,,-0.04148008128152001,
