country,year,value
AT,2018,56636.4953030542
BE,2018,52466.7330784599
BG,2018,22605.8660391436
CH,2018,70688.8187491194
CY,2018,37927.16796875
CZ,2018,41638.1831076596
DE,2018,56273.0405627017
DK,2018,57233.6231685618
EE,2018,37120.9879761677
ES,2018,41015.1565755187
FI,2018,49248.6775395866
FR,2018,46381.0590629457
GB,2018,47212.2045190522
HR,2018,28061.4416837425
HU,2018,32258.2577892511
IE,2018,86299.3420216976
IS,2018,57197.7676247175
LT,2018,36491.9385223689
LV,2018,29817.8047263182
ME,2018,19860.7827373448
NL,2018,58819.2609142584
NO,2018,70253.8463693386
PL,2018,32345.1066076225
PT,2018,34896.7993382974
RS,2018,17397.8610957148
SE,2018,53122.438677218
SI,2018,38620.2045436305
