country,epl,almp_spending,union_density,social_spending,collective_bargaining
AT,2.44,0.60,26.3,26.6,98.0
BE,2.99,0.69,49.1,28.9,96.0
BG,,,14.8,15.6,29.5
CH,1.60,0.54,15.7,16.0,49.4
CY,,,43.0,17.4,52.0
CZ,2.87,0.30,11.5,18.7,30.4
DE,2.84,0.63,16.5,25.1,54.0
DK,2.32,1.90,66.5,28.0,82.0
EE,1.81,0.26,4.6,17.4,19.2
ES,2.36,0.53,13.6,23.7,80.1
FI,2.17,0.88,60.3,28.7,89.3
FR,2.68,0.80,10.8,31.2,98.0
GB,1.35,0.20,23.4,20.6,26.3
HR,,,20.5,20.5,46.0
HU,1.93,0.50,7.9,19.4,22.8
IE,1.50,0.42,24.4,13.4,34.0
IS,2.12,0.17,91.8,16.8,90.0
IT,2.76,0.39,34.4,27.9,100.0
LT,2.42,0.22,7.1,16.2,7.7
LV,2.57,0.19,11.6,16.2,27.2
ME,,,28.0,18.0,30.0
NL,2.82,0.54,16.4,16.7,78.6
NO,2.33,0.47,49.2,25.0,69.0
PL,2.39,0.36,12.7,21.1,15.0
PT,2.65,0.47,15.3,22.6,73.8
RS,,,22.0,20.0,27.0
SE,2.61,1.18,65.2,26.1,90.0
SI,2.39,0.25,20.4,21.2,70.2
